iter	Logloss
0	0.6492542576
1	0.615265776
2	0.576495478
3	0.5429905362
4	0.5202025909
5	0.4983461589
6	0.4754998246
7	0.4613834347
8	0.4450399998
9	0.4299158227
10	0.4128251547
11	0.3987141218
12	0.3888736385
13	0.3806896062
14	0.3707626521
15	0.3612302761
16	0.3541346178
17	0.3464794492
18	0.3411769986
19	0.3334965165
20	0.327254172
21	0.3238958607
22	0.3201700328
23	0.3165955401
24	0.3126239785
25	0.3098924451
26	0.3075838988
27	0.3053514455
28	0.3029203255
29	0.3007566104
30	0.2976086916
31	0.2957701836
32	0.2946183812
33	0.2933106376
34	0.2919598722
35	0.2907403038
36	0.2892926784
37	0.2881912575
38	0.2868794475
39	0.285793991
40	0.2848258853
41	0.2835782761
42	0.2825781471
43	0.2818495408
44	0.28084683
45	0.2797905015
46	0.2790051108
47	0.2782351489
48	0.2777693153
49	0.277022886
50	0.2760710979
51	0.2754276805
52	0.274941761
53	0.2741739966
54	0.2738920039
55	0.2734491227
56	0.2727453372
57	0.2724048569
58	0.2716074669
59	0.2713847888
60	0.2708264828
61	0.2705465369
62	0.2701643464
63	0.2696294851
64	0.2692172715
65	0.2689849616
66	0.2685718578
67	0.2682867343
68	0.2679239991
69	0.2675137342
70	0.2673107415
71	0.2670903128
72	0.2666326457
73	0.266523338
74	0.2663704305
75	0.2661236544
76	0.2659000351
77	0.2657974504
78	0.2657115743
79	0.2655848545
80	0.2653283101
81	0.2651536868
82	0.2649252357
83	0.2647179604
84	0.2643008559
85	0.2642102189
86	0.2640545349
87	0.2638777969
88	0.2636983333
89	0.2635470681
90	0.2634662766
91	0.2633336477
92	0.2632087168
93	0.2629880707
94	0.2628653545
95	0.2627112282
96	0.2624346245
97	0.2622793845
98	0.2621693793
99	0.2620803589
100	0.2618549506
101	0.261746707
102	0.2616583272
103	0.2615111628
104	0.2614230275
105	0.2613118355
106	0.2611459483
107	0.2610003889
108	0.2608624221
109	0.2606886363
110	0.2606197459
111	0.2605388265
112	0.2604952543
113	0.2602686575
114	0.260195185
115	0.2601935552
116	0.2601369014
117	0.2600455927
118	0.2598696854
119	0.2597402869
120	0.2596295845
121	0.2595003993
122	0.2593508429
123	0.2592937653
124	0.2592445192
125	0.25916141
126	0.2590434829
127	0.2589584405
128	0.2588604551
129	0.2587924607
130	0.2587175572
131	0.258527619
132	0.2583471483
133	0.2582784046
134	0.2582267504
135	0.258130069
136	0.258062731
137	0.2579234124
138	0.2578175174
139	0.2577601329
140	0.2576879588
141	0.2575924802
142	0.2575152873
143	0.2574468939
144	0.257371373
145	0.2572344444
146	0.257157001
147	0.2570873468
148	0.2570074406
149	0.256923523
150	0.2568609016
151	0.2567816569
152	0.2567047029
153	0.2566260369
154	0.2564971855
155	0.2564304385
156	0.2563725257
157	0.2563029733
158	0.2562256892
159	0.256138242
160	0.256092929
161	0.2560184451
162	0.2559554305
163	0.2558573039
164	0.2557914532
165	0.2556824013
166	0.2556221921
167	0.2555404685
168	0.2554854935
169	0.2554015128
170	0.2553597255
171	0.2553011505
172	0.2552544355
173	0.2551562951
174	0.2551123758
175	0.2550449944
176	0.2548986643
177	0.2548159348
178	0.2547423208
179	0.2546422325
180	0.2545504819
181	0.2544027699
182	0.254320924
183	0.2542518703
184	0.2541883304
185	0.2541252481
186	0.2540571671
187	0.2540179053
188	0.2538678367
189	0.2538156011
190	0.2537544835
191	0.2537136954
192	0.2536583356
193	0.2535956817
194	0.2535267414
195	0.2534163893
196	0.2533535874
197	0.253298735
198	0.2531874097
199	0.2530394374
200	0.2529851173
201	0.2529053741
202	0.2528624346
203	0.2528060879
204	0.2527635636
205	0.252715585
206	0.2525764833
207	0.2525388273
208	0.2524952792
209	0.2524284169
210	0.2523437837
211	0.2522560703
212	0.2521990581
213	0.2521419275
214	0.2520834695
215	0.2520263064
216	0.2519546775
217	0.2519061054
218	0.2518621719
219	0.2518596841
220	0.2518202483
221	0.2517664103
222	0.251710009
223	0.251665806
224	0.2515579038
225	0.2515140038
226	0.2514589179
227	0.2513655791
228	0.2513068761
229	0.2512214781
230	0.25117313
231	0.251113559
232	0.2510419592
233	0.2509979654
234	0.2508824273
235	0.2508278186
236	0.250766339
237	0.2506774953
238	0.2506097381
239	0.2505376742
240	0.2504743609
241	0.2504304077
242	0.2503546034
243	0.2502473882
244	0.2501851632
245	0.2501047247
246	0.2500270052
247	0.2499759663
248	0.2499199824
249	0.2498722314
250	0.2497498591
251	0.2496884966
252	0.24956398
253	0.249477225
254	0.2494097312
255	0.2493430009
256	0.2492680022
257	0.2492011218
258	0.2491429127
259	0.2490796179
260	0.2489750883
261	0.2489015366
262	0.2488587803
263	0.2487962153
264	0.2487373115
265	0.2486840507
266	0.2486179898
267	0.2485588413
268	0.2485293229
269	0.2484612975
270	0.2484006023
271	0.2482972015
272	0.2482178538
273	0.2481566189
274	0.248071411
275	0.2480187383
276	0.2479558716
277	0.2478977751
278	0.2478583498
279	0.2478210557
280	0.2477633298
281	0.2476908895
282	0.2475497082
283	0.2474859129
284	0.2474315253
285	0.2473856499
286	0.247313952
287	0.2472547935
288	0.2471981727
289	0.2471345995
290	0.2470820511
291	0.2470323944
292	0.2469353392
293	0.2468956738
294	0.246832239
295	0.2467072772
296	0.2466522246
297	0.2466093615
298	0.2465408348
299	0.2464697963
300	0.2463871249
301	0.2463259177
302	0.2462759158
303	0.2462013325
304	0.2461462976
305	0.2460867872
306	0.2460378533
307	0.2459809685
308	0.2459347128
309	0.2458463711
310	0.2457466417
311	0.2456997681
312	0.2456449844
313	0.2456019572
314	0.2455597795
315	0.2454987299
316	0.2454261008
317	0.2453748262
318	0.2453014109
319	0.2452384507
320	0.2451976462
321	0.2451307894
322	0.2450512801
323	0.245002142
324	0.2449349846
325	0.24487463
326	0.2448074102
327	0.2447801425
328	0.2447199618
329	0.2446568554
330	0.2445913131
331	0.2444996824
332	0.2444443826
333	0.2443875119
334	0.2443065348
335	0.2442676999
336	0.24421547
337	0.2441677547
338	0.2441254158
339	0.2440775434
340	0.2440342329
341	0.2440016716
342	0.2439623113
343	0.2439038973
344	0.2438421225
345	0.2437967345
346	0.2437519732
347	0.2436962664
348	0.2436488876
349	0.2435612047
350	0.2435272275
351	0.2434675272
352	0.2434093229
353	0.2433609303
354	0.2432915578
355	0.2432567733
356	0.2432143987
357	0.24317236
358	0.2431180219
359	0.2430622253
360	0.2430254524
361	0.2429737839
362	0.2429116272
363	0.2428698657
364	0.242833172
365	0.2427391141
366	0.2426681821
367	0.2426135009
368	0.2425583065
369	0.242524678
370	0.2424450052
371	0.2423936852
372	0.2423341637
373	0.2423076721
374	0.2422579526
375	0.2422024589
376	0.2421677849
377	0.242119486
378	0.2420803882
379	0.2420193377
380	0.2419736978
381	0.2419171755
382	0.2418646188
383	0.2418115832
384	0.2417572563
385	0.2416917619
386	0.2416384163
387	0.2415589525
388	0.2415209051
389	0.2414671561
390	0.2413870682
391	0.2413472925
392	0.2413028982
393	0.2412545858
394	0.2412249918
395	0.2411871182
396	0.241138232
397	0.2410954513
398	0.2410604024
399	0.2410089543
400	0.240933625
401	0.2408590949
402	0.2407982585
403	0.2407741863
404	0.2407252774
405	0.2406766911
406	0.2406295666
407	0.2405732088
408	0.2405353527
409	0.2404860883
410	0.2404284729
411	0.2403825485
412	0.240333212
413	0.2402703721
414	0.24020959
415	0.2401508403
416	0.2400892936
417	0.2400250809
418	0.2399886978
419	0.2399166008
420	0.2398830636
421	0.2398272105
422	0.2397999054
423	0.2397522194
424	0.2397231993
425	0.2396679741
426	0.2396352812
427	0.2395849603
428	0.2395179247
429	0.2394749474
430	0.2394229814
431	0.2393795585
432	0.239313645
433	0.2392660896
434	0.2392300465
435	0.2391803588
436	0.2391202997
437	0.2390738557
438	0.239034163
439	0.2389815496
440	0.2389476434
441	0.2388708881
442	0.2388208117
443	0.2387561687
444	0.2386961024
445	0.2386277755
446	0.2385804025
447	0.2385400689
448	0.2384861945
449	0.2384197731
450	0.2383724529
451	0.2383050037
452	0.2382561885
453	0.2381956567
454	0.2381528859
455	0.2380880124
456	0.2380489881
457	0.238003703
458	0.2379431933
459	0.237883923
460	0.2378415538
461	0.2377642139
462	0.2376995393
463	0.2376486401
464	0.2375953572
465	0.2375543033
466	0.2374919878
467	0.2374496179
468	0.2374143748
469	0.2373609636
470	0.2372998302
471	0.2372391463
472	0.2371990745
473	0.2371463879
474	0.2370806159
475	0.2370451442
476	0.2370057235
477	0.2369536785
478	0.2369214865
479	0.2368964375
480	0.2368289486
481	0.2367810649
482	0.2367260713
483	0.2366743986
484	0.2366325572
485	0.2365888419
486	0.2365360553
487	0.2364849718
488	0.236431872
489	0.2363755338
490	0.2363509683
491	0.2362990122
492	0.2362518158
493	0.2362037551
494	0.236145806
495	0.2360718766
