iter	Passed	Remaining
418	2500	3467
419	2506	3461
420	2511	3453
421	2516	3447
422	2521	3439
423	2526	3432
424	2531	3424
425	2536	3417
426	2540	3409
427	2547	3404
428	2551	3396
429	2557	3389
430	2561	3382
431	2568	3377
432	2573	3369
433	2578	3362
434	2582	3354
435	2588	3348
436	2593	3341
437	2598	3333
438	2604	3328
439	2609	3321
440	2614	3314
441	2619	3307
442	2625	3300
443	2630	3294
444	2635	3287
445	2642	3281
446	2647	3274
447	2652	3268
448	2656	3260
449	2662	3254
450	2667	3246
451	2673	3241
452	2678	3233
453	2683	3227
454	2687	3219
455	2694	3215
456	2699	3207
457	2704	3200
458	2711	3195
459	2715	3188
460	2721	3181
461	2726	3174
462	2731	3168
463	2736	3161
464	2742	3155
465	2748	3149
466	2755	3144
467	2760	3137
468	2764	3130
469	2769	3123
470	2775	3116
471	2780	3110
472	2785	3103
473	2790	3096
474	2796	3090
475	2800	3083
476	2805	3075
477	2810	3069
478	2816	3063
479	2820	3056
480	2825	3049
481	2830	3042
482	2836	3036
483	2841	3029
484	2847	3023
485	2851	3015
486	2858	3011
487	2863	3003
488	2869	2998
489	2874	2991
490	2880	2985
491	2885	2978
492	2889	2972
493	2897	2967
494	2902	2960
495	2907	2954
496	2911	2946
497	2919	2942
498	2923	2935
499	2928	2928
500	2933	2921
501	2938	2915
502	2945	2910
503	2949	2902
504	2954	2896
505	2961	2890
506	2966	2884
507	2972	2878
508	2976	2871
509	2982	2865
510	2987	2858
511	2993	2853
512	2998	2846
513	3004	2840
514	3008	2833
515	3013	2826
516	3017	2819
517	3023	2813
518	3028	2806
519	3033	2800
520	3038	2793
521	3043	2787
522	3049	2780
523	3053	2773
524	3057	2766
525	3065	2762
526	3070	2755
527	3074	2748
528	3080	2743
529	3086	2736
530	3091	2730
531	3095	2723
532	3099	2715
533	3103	2708
534	3108	2701
535	3113	2695
536	3118	2688
537	3122	2681
538	3127	2674
539	3132	2668
540	3138	2663
541	3143	2656
542	3148	2649
543	3154	2643
544	3158	2636
545	3163	2630
546	3169	2624
547	3175	2619
548	3180	2612
549	3185	2606
550	3191	2600
551	3197	2595
552	3202	2588
553	3206	2581
554	3213	2576
555	3221	2572
556	3225	2565
557	3230	2559
558	3236	2553
559	3242	2548
560	3248	2541
561	3253	2535
562	3259	2529
563	3263	2523
564	3269	2517
565	3274	2510
566	3280	2504
567	3284	2498
568	3290	2492
569	3294	2485
570	3301	2480
571	3305	2473
572	3310	2467
573	3315	2460
574	3321	2455
575	3326	2448
576	3331	2442
577	3336	2435
578	3342	2430
579	3347	2423
580	3352	2417
581	3357	2411
582	3363	2405
583	3368	2399
584	3373	2393
585	3378	2387
586	3384	2381
587	3390	2375
588	3395	2369
589	3401	2363
590	3407	2358
591	3412	2352
592	3418	2346
593	3422	2339
594	3429	2334
595	3435	2328
596	3440	2322
597	3446	2316
598	3451	2310
599	3456	2304
600	3460	2297
601	3467	2292
602	3471	2285
603	3477	2279
604	3481	2273
605	3487	2267
606	3492	2261
607	3497	2254
608	3502	2248
609	3507	2242
610	3513	2236
611	3518	2230
612	3523	2224
613	3529	2218
614	3534	2212
615	3539	2206
616	3544	2200
617	3549	2194
618	3555	2188
619	3560	2182
620	3565	2175
621	3570	2169
622	3575	2163
623	3580	2157
624	3586	2151
625	3592	2146
626	3598	2140
627	3604	2134
628	3608	2128
629	3615	2123
630	3620	2117
631	3625	2111
632	3630	2105
633	3636	2099
634	3641	2093
635	3646	2086
636	3651	2080
637	3656	2074
638	3662	2068
639	3667	2062
640	3674	2057
641	3679	2052
642	3685	2046
643	3691	2040
644	3700	2036
645	3705	2030
646	3713	2025
647	3718	2020
648	3724	2014
649	3730	2008
650	3735	2002
651	3741	1996
652	3747	1991
653	3753	1985
654	3760	1980
655	3764	1974
656	3770	1968
657	3775	1962
658	3781	1956
659	3786	1950
660	3791	1944
661	3796	1938
662	3802	1932
663	3809	1927
664	3815	1922
665	3821	1916
666	3826	1910
667	3832	1904
668	3837	1898
669	3843	1893
670	3849	1887
671	3855	1881
672	3861	1876
673	3867	1870
674	3872	1864
675	3878	1858
676	3884	1853
677	3889	1847
678	3894	1841
679	3900	1835
680	3906	1830
681	3911	1823
682	3916	1817
683	3921	1811
684	3927	1806
685	3932	1799
686	3937	1794
687	3944	1788
688	3949	1782
689	3955	1776
690	3959	1770
691	3966	1765
692	3971	1759
693	3976	1753
694	3981	1747
695	3987	1741
696	3992	1735
697	3997	1729
698	4003	1723
699	4008	1718
700	4014	1712
701	4018	1706
702	4025	1700
703	4031	1694
704	4036	1688
705	4041	1682
706	4046	1676
707	4052	1671
708	4057	1665
709	4062	1659
710	4068	1653
711	4074	1648
712	4080	1642
713	4085	1636
714	4092	1631
715	4098	1625
716	4103	1619
717	4110	1614
718	4115	1608
719	4121	1602
720	4126	1596
721	4133	1591
722	4139	1585
723	4144	1580
724	4151	1574
725	4158	1569
726	4164	1563
727	4173	1559
728	4180	1554
729	4188	1548
730	4198	1544
731	4203	1539
732	4208	1533
733	4215	1527
734	4221	1522
735	4226	1516
736	4232	1510
737	4238	1504
738	4243	1498
739	4248	1492
740	4255	1487
741	4260	1481
742	4267	1476
743	4272	1470
744	4279	1464
745	4284	1458
746	4289	1452
747	4296	1447
748	4302	1441
749	4308	1436
750	4313	1430
751	4319	1424
752	4324	1418
753	4329	1412
754	4334	1406
755	4340	1400
756	4345	1394
757	4350	1388
758	4355	1382
759	4361	1377
760	4366	1371
761	4371	1365
762	4376	1359
763	4382	1353
764	4388	1348
765	4393	1342
766	4400	1336
767	4404	1330
768	4410	1324
769	4414	1318
770	4421	1313
771	4426	1307
772	4431	1301
773	4436	1295
774	4443	1289
775	4448	1284
776	4453	1278
777	4460	1272
778	4465	1266
779	4471	1261
780	4477	1255
781	4482	1249
782	4488	1244
783	4494	1238
784	4499	1232
785	4505	1226
786	4510	1220
787	4516	1215
788	4520	1209
789	4526	1203
790	4532	1197
791	4538	1191
792	4545	1186
793	4551	1180
794	4557	1175
795	4562	1169
796	4571	1164
797	4577	1158
798	4582	1152
799	4588	1147
800	4594	1141
801	4599	1135
802	4604	1129
803	4611	1124
804	4616	1118
805	4621	1112
806	4626	1106
807	4632	1100
808	4637	1094
809	4643	1089
810	4649	1083
811	4655	1077
812	4660	1072
813	4666	1066
814	4672	1060
815	4678	1054
816	4683	1048
817	4688	1043
818	4694	1037
819	4699	1031
820	4705	1025
821	4711	1020
822	4716	1014
823	4722	1008
824	4727	1002
825	4734	997
826	4738	991
827	4744	985
828	4748	979
829	4755	973
830	4761	968
831	4766	962
832	4772	956
833	4778	951
834	4784	945
835	4789	939
836	4796	933
837	4801	928
838	4805	922
839	4811	916
840	4817	910
841	4822	905
842	4829	899
843	4835	893
844	4841	888
845	4847	882
846	4852	876
847	4859	871
848	4864	865
849	4870	859
850	4875	853
851	4881	847
852	4885	841
853	4891	836
854	4895	830
855	4901	824
856	4907	818
857	4911	812
858	4917	807
859	4923	801
860	4929	795
861	4934	790
862	4940	784
863	4946	778
864	4952	772
865	4957	767
866	4963	761
867	4969	755
868	4975	750
869	4980	744
870	4987	738
871	4992	732
872	4998	727
873	5004	721
874	5010	715
875	5015	709
876	5020	704
877	5026	698
878	5031	692
879	5037	686
880	5042	681
881	5048	675
882	5053	669
883	5058	663
884	5065	658
885	5070	652
886	5075	646
887	5080	640
888	5085	634
889	5091	629
890	5097	623
891	5102	617
892	5108	612
893	5113	606
894	5118	600
895	5123	594
896	5128	588
897	5134	583
898	5138	577
899	5143	571
900	5150	565
901	5155	560
902	5163	554
903	5167	548
904	5173	543
905	5178	537
906	5183	531
907	5189	525
908	5195	520
909	5200	514
910	5205	508
911	5211	502
912	5217	497
913	5222	491
914	5227	485
915	5233	479
916	5239	474
917	5243	468
918	5249	462
919	5255	456
920	5260	451
921	5266	445
922	5272	439
923	5277	434
924	5282	428
925	5288	422
926	5294	416
927	5300	411
928	5304	405
929	5310	399
930	5317	394
931	5322	388
932	5328	382
933	5333	376
934	5339	371
935	5344	365
936	5350	359
937	5355	354
938	5370	348
939	5377	343
940	5381	337
941	5387	331
942	5392	325
943	5399	320
944	5404	314
945	5409	308
946	5414	303
947	5421	297
948	5426	291
949	5432	285
950	5439	280
951	5445	274
952	5450	268
953	5456	263
954	5462	257
955	5468	251
956	5473	245
957	5479	240
958	5485	234
959	5491	228
960	5496	223
961	5501	217
962	5507	211
963	5512	205
964	5517	200
965	5524	194
966	5529	188
967	5534	182
968	5540	177
969	5546	171
970	5552	165
971	5557	160
972	5564	154
973	5570	148
974	5575	142
975	5581	137
976	5587	131
977	5593	125
978	5598	120
979	5605	114
980	5610	108
