iter	Passed	Remaining
416	2553	3569
417	2559	3563
418	2565	3557
419	2572	3551
420	2578	3545
421	2583	3539
422	2589	3532
423	2595	3526
424	2601	3519
425	2607	3512
426	2612	3506
427	2618	3499
428	2624	3493
429	2630	3487
430	2636	3480
431	2641	3473
432	2647	3466
433	2653	3460
434	2658	3453
435	2664	3446
436	2669	3439
437	2676	3433
438	2681	3427
439	2688	3421
440	2693	3414
441	2699	3407
442	2704	3400
443	2710	3394
444	2716	3387
445	2721	3380
446	2727	3373
447	2732	3366
448	2737	3359
449	2743	3353
450	2749	3346
451	2754	3339
452	2760	3332
453	2765	3325
454	2771	3319
455	2776	3312
456	2782	3305
457	2788	3299
458	2793	3292
459	2799	3286
460	2804	3279
461	2810	3272
462	2816	3266
463	2821	3259
464	2827	3253
465	2833	3247
466	2839	3240
467	2845	3234
468	2850	3227
469	2856	3221
470	2862	3214
471	2867	3208
472	2873	3201
473	2878	3194
474	2884	3188
475	2890	3181
476	2896	3175
477	2902	3169
478	2908	3163
479	2913	3156
480	2919	3150
481	2925	3143
482	2930	3137
483	2937	3131
484	2943	3125
485	2948	3118
486	2954	3112
487	2960	3106
488	2966	3099
489	2971	3093
490	2977	3086
491	2983	3080
492	2989	3074
493	2995	3067
494	3001	3061
495	3007	3055
496	3013	3049
497	3019	3043
498	3025	3037
499	3031	3031
500	3037	3025
501	3042	3018
502	3048	3012
503	3054	3005
504	3059	2999
505	3066	2993
506	3071	2986
507	3077	2980
508	3082	2973
509	3088	2967
510	3093	2960
511	3099	2954
512	3105	2947
513	3110	2941
514	3116	2934
515	3122	2928
516	3127	2921
517	3132	2915
518	3138	2908
519	3144	2902
520	3150	2896
521	3155	2889
522	3161	2883
523	3167	2876
524	3172	2870
525	3178	2863
526	3183	2857
527	3189	2851
528	3195	2844
529	3200	2838
530	3206	2831
531	3211	2825
532	3217	2818
533	3222	2812
534	3228	2805
535	3233	2799
536	3239	2793
537	3245	2786
538	3250	2780
539	3256	2774
540	3262	2767
541	3267	2761
542	3272	2754
543	3278	2748
544	3284	2742
545	3291	2736
546	3297	2730
547	3303	2724
548	3309	2718
549	3314	2712
550	3320	2705
551	3325	2699
552	3331	2692
553	3336	2686
554	3342	2680
555	3348	2674
556	3354	2667
557	3359	2661
558	3366	2655
559	3372	2649
560	3378	2643
561	3383	2637
562	3389	2630
563	3394	2624
564	3400	2617
565	3405	2611
566	3411	2605
567	3416	2598
568	3422	2592
569	3427	2585
570	3433	2579
571	3438	2572
572	3443	2566
573	3449	2560
574	3455	2553
